Dimension,pca Time,pca Standard Deviation,knn Accuracy,knn Standard Deviation,isomap Time,isomap Standard Deviation,knn Accuracy,knn Standard Deviation,dae Time,dae Standard Deviation,knn Accuracy,knn Standard Deviation,vae Time,vae Standard Deviation,knn Accuracy,knn Standard Deviation
1,0.21260876655578614,0.013286685790443096,0.17245724572457247,0.002175165791826203,91.75797162055969,0.477181372461965,0.23492349234923493,0.03165451613369327,139.6820939540863,23.410941652627724,0.4441044104410441,0.03753968875142718,102.08214778900147,42.47043360949679,0.356975697569757,0.05716131428244055
3,0.21313538551330566,0.014992235405049698,0.3764176417641764,0.00567556535389178,87.36377382278442,4.893567980742631,0.5112511251125113,0.005749313923554007,207.31786012649536,24.454081532530587,0.7101710171017102,0.01496425018226495,138.58777780532836,30.1125573680322,0.7125112511251126,0.008939484441357434
5,0.22658004760742187,0.0125226326770021,0.452025202520252,0.005560196295762558,91.27493572235107,0.743391633967273,0.5501350135013501,0.01667864600813749,187.37811861038207,31.711414828897045,0.7540954095409541,0.008546590437781627,169.11066341400146,28.293455954430616,0.7517551755175517,0.010610377698139618
7,0.23043975830078126,0.011321068912275002,0.5225922592259226,0.006797914523312044,90.9919303894043,1.8940468057932276,0.594059405940594,0.01807366393953,161.3572500228882,27.55102190395975,0.7540954095409541,0.011851147139969613,193.65951108932495,26.787417908148786,0.7560756075607561,0.02196662244577008
9,0.2439344882965088,0.014978824837645309,0.5504950495049504,0.005418511950780348,92.58420948982238,1.2463635851921795,0.6558055805580558,0.026053524722045356,135.75579872131348,10.752994105334441,0.7465346534653465,0.011962734636065616,165.20350141525267,29.09698049990067,0.7654365436543655,0.02204467256862882
11,0.24836435317993164,0.023275756467267098,0.5726372637263728,0.017053321091326817,122.69058527946473,5.073050872247745,0.6921692169216922,0.010039131228513897,141.8243673801422,17.841506567463835,0.7472547254725473,0.01665920475428877,150.75703191757202,13.47267883170743,0.7445544554455445,0.010253127536200304
13,0.2700535297393799,0.021008823494559084,0.6423042304230423,0.00691606578300576,116.89483332633972,6.431153514889302,0.7092709270927091,0.010527590651458816,152.71065864562988,19.0014764482054,0.7537353735373538,0.012164209473646196,160.24192781448363,31.8971678744395,0.7521152115211521,0.017616028547578867
15,0.2865553379058838,0.0288402064162973,0.7126912691269128,0.0038777064317800434,117.3610740661621,5.8668159024236335,0.7197119711971197,0.008378092729591429,168.3374026298523,17.44789552187169,0.7641764176417641,0.006854881283405838,163.76428532600403,17.933635007690533,0.7587758775877589,0.016171589329595493
17,0.28571338653564454,0.015744828171668244,0.7666966696669666,0.005646944065295446,119.54861521720886,3.0281935009269083,0.72997299729973,0.007312365800752441,158.38341794013976,31.893150042114353,0.7607560756075609,0.022737919813152548,183.7646056175232,31.49679431645919,0.7474347434743475,0.012137539392286277
19,0.3116053581237793,0.026628138780202065,0.7857785778577858,0.004221796363477438,116.0770366191864,4.374176456325648,0.7413141314131412,0.01507858980476828,149.45021996498107,18.04483960651202,0.7549954995499549,0.014360878974026374,167.32810711860657,27.67501512504785,0.7535553555355536,0.014849030154672389
21,0.3176406383514404,0.0217841811350345,0.7902790279027903,0.0024813769130675517,116.36684942245483,4.804635040844608,0.7461746174617462,0.007155574046571292,173.53517804145812,23.794745379216284,0.762016201620162,0.006628965846812578,149.24063811302184,11.252375305134791,0.7589558955895589,0.01396039313795952
23,0.30390162467956544,0.03007348855433077,0.7915391539153915,0.0023193697077812997,113.8581889629364,3.1473948282670174,0.7486948694869486,0.008296467054403523,187.2612940311432,45.37035276859581,0.7668766876687669,0.009576551631517799,171.37772097587586,22.031923503748676,0.7598559855985599,0.01968215114109323
25,0.3819155216217041,0.027751734326730032,0.7935193519351935,0.001569360555730216,122.68453760147095,4.835932193044345,0.7548154815481549,0.004394799501614282,197.79727439880372,27.50015595529992,0.7717371737173717,0.01613748682701347,176.1900402545929,24.80529898191947,0.7582358235823582,0.01297628895837273
27,0.33057231903076173,0.027398075889195208,0.7981998199819982,0.00684068406840684,113.23575205802918,3.290637548374452,0.7593159315931592,0.006430448640681064,182.4165053844452,15.650544917933905,0.7596759675967597,0.008910436486599149,200.59084343910217,52.04297547814002,0.7585958595859585,0.008138725152444515
29,0.3277772903442383,0.02668916314778545,0.8066606660666068,0.0030866657424810464,122.5282166481018,4.777891003264242,0.758955895589559,0.00968423233577879,171.68390941619873,16.445907310370423,0.7697569756975697,0.014098984157840699,191.01496090888978,20.080329003845172,0.7486948694869486,0.015666738233688277
