Dimension,pca Time,pca Standrad Deviation,knn Accuracy,knn Standrad Deviation,isomap Time,isomap Standrad Deviation,knn Accuracy,knn Standrad Deviation,dae Time,dae Standrad Deviation,knn Accuracy,knn Standrad Deviation,vae Time,vae Standrad Deviation,knn Accuracy,knn Standrad Deviation
23,1.5826272010803222,0.01251492357657536,0.41674,0.0008867919710958112,158.28723697662355,10.707068001346421,0.33232,0.004136858711631321,172.71071853637696,25.3501771433865,0.45132000000000005,0.00260415053328336,211.37412672042848,18.920537556311803,0.44300000000000006,0.004176601489249372
25,1.6239963531494142,0.025830235907111258,0.42352,0.00046647615158761264,163.54505853652955,10.920306281098387,0.33196,0.005048801838060203,167.29083800315857,3.246315067318496,0.44986000000000004,0.002490461804565574,209.98371095657347,40.51486519613151,0.44588,0.00263241334140366
27,1.6479684352874755,0.03810420656831381,0.42354,0.002301825362619849,156.41516966819762,8.23302142993952,0.33198,0.006012121089931586,179.53134756088258,13.671747342813577,0.45172000000000007,0.0020222759455623316,235.64840307235718,34.62812996228938,0.44636,0.0033434114314574025
29,1.6662842273712157,0.041503381545187436,0.42138,0.00033704599092706665,158.65047259330748,8.596956016034612,0.3322,0.005104507811728776,180.21377511024474,8.811755905040242,0.45161999999999997,0.002066301042926714,215.74417271614075,17.946920050895407,0.44864,0.004299116188241479
36,1.7014975547790527,0.04323359930724669,0.41364,0.003472520698282443,161.60408878326416,5.952594786716427,0.3346,0.003728806779654845,233.97814626693724,12.52103042761821,0.45178,0.0018829763673503788,235.7618191242218,25.467317778945137,0.44367999999999996,0.0038829885397719185
43,1.7744917392730712,0.037424741563828884,0.40804,0.0021886982432487104,157.86583085060118,8.913886413480025,0.33476000000000006,0.003859844556455608,285.96675219535825,25.65059456946473,0.44566,0.001811739495622931,286.78696327209474,41.43399549367074,0.44642,0.003236912108785153
50,1.8100549221038817,0.052270392157681075,0.40106,0.002424541193710675,161.54164519309998,13.540403835800957,0.33354,0.004363759846737684,275.94769983291627,30.100318686975257,0.44412,0.003915814091603425,263.86428422927855,25.675913171063424,0.44932,0.003669550381177512
57,1.9057100772857667,0.1105978810201671,0.39747999999999994,0.0036124230095601994,160.69681878089904,8.340132218611641,0.33466,0.005330140711088228,285.70631222724916,23.021851391429006,0.44367999999999996,0.001475669339655734,323.86232018470764,83.20981630351294,0.44104,0.0049974393443042485
64,1.876769781112671,0.08753687914601048,0.39625999999999995,0.00243934417415828,153.3086401939392,3.49357628223179,0.33340000000000003,0.004785394445602149,334.65598878860476,47.673556995982295,0.45544,0.0025342454498331365,283.11488609313966,22.292884618619187,0.44743999999999995,0.001980504986108343
71,1.9828715801239014,0.07832921091594115,0.39418,0.0026798507421123188,160.3756453514099,9.451440351737514,0.33268000000000003,0.004032567420391138,362.06127667427063,49.73306527567818,0.45362,0.004533607834826475,248.95567440986633,37.77325829009468,0.44648000000000004,0.004179186523714864
78,1.9847242832183838,0.07047205792754778,0.39116,0.003440116277104589,158.22217721939086,9.704224880545414,0.33474000000000004,0.004501377566923268,339.6934493541718,30.451803946008507,0.45404,0.0017024687956024359,293.7703453540802,38.14864444011484,0.44522000000000006,0.0044611209353704025
85,2.123138666152954,0.13516792755819837,0.3890600000000001,0.0033968220442054334,152.06866784095763,8.38119987131272,0.33399999999999996,0.00511898427424817,377.56084351539613,72.80329000669971,0.45276000000000005,0.0028429562078934783,272.1912109851837,70.82473320994377,0.44428,0.009210732869864388
92,2.1133594036102297,0.11241913472483575,0.38483999999999996,0.005478174878552163,157.15795183181763,10.955410980548724,0.33614000000000005,0.005177876012420539,288.9400547504425,20.829401682471133,0.45768000000000003,0.0037155887824139033,295.4116250038147,40.632171938948105,0.44381999999999994,0.007784702948732219
99,2.2660872459411623,0.11282389327977597,0.38408000000000003,0.0025079074943067624,154.05236377716065,8.127547204558851,0.33562000000000003,0.004100439000887583,347.9465106964111,83.0819302506469,0.45310000000000006,0.0037239763694201893,338.964222574234,39.771300236810774,0.44234,0.002326886331559831
