Dimension,pca Time,pca Standrad Deviation,knn Accuracy,knn Standrad Deviation,isomap Time,isomap Standrad Deviation,knn Accuracy,knn Standrad Deviation,dae Time,dae Standrad Deviation,knn Accuracy,knn Standrad Deviation,vae Time,vae Standrad Deviation,knn Accuracy,knn Standrad Deviation
1,0.4728123188018799,0.01510782449587391,0.31144,0.0007709734106958554,104.83238105773925,8.576732332870511,0.36306,0.01606768184897871,292.54044485092163,73.24390468282849,0.65786,0.020769169458598958,181.2175419330597,72.42957919138065,0.65508,0.01207648955615828
3,0.4970404148101807,0.021581761936590817,0.6516,0.0004560701700396439,112.35115971565247,3.1504402964438767,0.7199,0.01007352966938598,321.9541281700134,62.76934516886515,0.7886,0.001908926399838397,393.06106395721434,120.37318332865487,0.7915599999999999,0.0040971209403677595
5,0.5053345203399658,0.019481247543959867,0.74716,0.001007174264961122,96.05067167282104,6.2404111193063665,0.7752399999999999,0.00267177843392746,256.28450202941895,41.943809557827834,0.82966,0.0029910533261712324,397.29496040344236,60.988437303519646,0.8154999999999999,0.0035065652710308836
7,0.5336488723754883,0.019877409269016433,0.77864,0.0008935323161475783,101.22532095909119,7.0832648984686895,0.7880799999999999,0.0026392423155140576,246.89401574134826,29.90135384228546,0.84582,0.002722058044935877,378.13601689338685,112.68476832542272,0.8304199999999999,0.004170083932009036
9,0.5455456256866456,0.016188671240779388,0.80496,0.0011516944039110402,99.8766462802887,7.150520599685078,0.7977000000000001,0.002162406067324102,253.17071681022645,22.60499265664717,0.85548,0.0004445222154178564,387.60908422470095,56.35541772710194,0.8432599999999999,0.0017805617091243935
11,0.5663121700286865,0.016302023008632482,0.8236399999999999,0.00022449944320641175,127.60582284927368,4.266860579887152,0.80396,0.001217538500417949,274.1805060863495,28.693350490871747,0.8625,0.0029284808348356965,405.3298836708069,60.16506188641992,0.8443200000000001,0.0024814511883170234
13,0.5667242527008056,0.009812531939126286,0.82914,0.0011359577456930188,130.54480104446412,5.99642909243588,0.80412,0.0014133647795243887,255.3181272983551,45.906783061845914,0.86596,0.0016776173580408667,296.9629224300385,68.31988146115475,0.85206,0.003116793223811917
15,0.5815598487854003,0.03709554299309729,0.83626,0.0006829348431585648,123.8190532207489,6.689986621896811,0.8064600000000001,0.0006945502141674041,247.21600937843323,32.99682992586401,0.8679400000000002,0.0014853955702101931,303.2774043083191,46.09217384285996,0.8543000000000001,0.0015899685531481455
17,0.597376823425293,0.014502526554058197,0.8412,0.00012649110640675635,127.33990888595581,8.139201850524273,0.80734,0.0013588230201170494,285.70844531059265,40.02806306067923,0.8713599999999999,0.002857691375918691,418.1955505371094,116.73927037354171,0.8579800000000001,0.0031005805907926565
19,0.6078968048095703,0.01581240176996295,0.84608,0.00078587530817554,124.32777881622314,4.3571961070834275,0.8087199999999999,0.0012607934009979482,256.31606369018556,49.14681557116895,0.87224,0.0012658593918757383,425.7544994354248,89.791554557578,0.8612,0.001346105493637124
21,0.6288710594177246,0.02893439811052186,0.84812,0.0009785703858180281,137.36182899475097,10.025247560420384,0.8088,0.0016149303390549212,277.90335669517515,44.911484206842516,0.87224,0.001386506400994952,408.16413073539735,65.92303208659261,0.8618600000000001,0.0019158288023724715
23,0.6451727390289307,0.04294619108146235,0.84738,0.0009495261976375444,132.4264925479889,5.797638039820425,0.8101799999999999,0.0016821414922651456,284.06488699913024,53.10909744727424,0.8742800000000001,0.0013862178760930544,423.4299840450287,102.31374016618591,0.86296,0.0034389533291395566
25,0.6628759860992431,0.040364143723632735,0.8487399999999999,0.001153429668423694,124.16178030967713,5.515332463464157,0.8096,0.001682854717437007,280.2657228469849,25.541215072626528,0.8753399999999999,0.0024286621831782116,407.55048327445985,88.10194368699341,0.86412,0.0017611359970200865
27,0.6951962471008301,0.030315527051728776,0.84954,0.0006019966777317091,131.78367400169373,7.105008645187306,0.80976,0.002647715996854675,285.6714410305023,39.875078667960125,0.87464,0.0011074294559925753,362.70809116363523,58.98782950897491,0.8640599999999999,0.0023979991659715066
29,0.7148193836212158,0.022492713506335152,0.85304,0.0008800000000000081,124.80864591598511,4.481002096566052,0.8095399999999999,0.0018927229062913687,303.73418321609495,29.002828721207393,0.8747199999999999,0.0023903137869325814,497.14462838172915,77.34257065605297,0.86434,0.0025904439773907486
31,0.6995503902435303,0.024900596127149364,0.85244,0.0007200000000000076,124.23670644760132,5.876349437937787,0.8091800000000001,0.0008749857141691268,322.7775774002075,41.93832593650499,0.8750399999999999,0.002157405849625872,410.00323567390444,106.95950689251909,0.8678799999999999,0.00034292856398963824
33,0.7265030860900878,0.03305832376302112,0.8534,0.0016697305171793529,124.90773086547851,2.649090036421001,0.81098,0.0016302147097851983,291.41058416366576,36.0687383311482,0.87514,0.0011876026271442962,412.5386584758759,155.34019976786593,0.86682,0.0024489997958350024
35,0.7537200927734375,0.035736115094639316,0.85382,0.0008447484832777429,129.7622305393219,6.074801746755454,0.8116999999999999,0.002214497685706627,357.0984304904938,26.07854190726877,0.8761800000000001,0.001185580026822291,380.7542559623718,76.31608210580117,0.86744,0.001101998185116462
37,0.737094497680664,0.03558005300288732,0.85462,0.000474973683481513,131.8023715019226,4.457843922670461,0.8114399999999999,0.0020703622871372077,349.71009769439695,41.68578840266183,0.87612,0.002552959067435258,427.8174650669098,74.9399423336991,0.8685600000000001,0.001184229707446995
39,0.7450477123260498,0.032384764970564264,0.85562,0.00045343136195020984,125.10032744407654,3.140700779657103,0.81142,0.002493511580081392,347.5483937740326,49.88466646436715,0.87476,0.0013720058308913773,404.521472120285,64.43157364801489,0.86898,0.0017162750362339962
