Dimension,pca Time,pca Standrad Deviation,knn Accuracy,knn Standrad Deviation,isomap Time,isomap Standrad Deviation,knn Accuracy,knn Standrad Deviation,dae Time,dae Standrad Deviation,knn Accuracy,knn Standrad Deviation,vae Time,vae Standrad Deviation,knn Accuracy,knn Standrad Deviation
1,0.47661666870117186,0.028758778279548248,0.3069,0.0006164414002968928,108.06177358627319,9.718896422121386,0.38926,0.013475993469870768,303.976646900177,52.684258745906824,0.6554,0.00625299928034536,257.25142631530764,51.97879188765763,0.67924,0.01708386373160359
3,0.4943875312805176,0.031109486114148845,0.5388400000000001,0.0005748043145280214,109.90056204795837,4.288435535450013,0.666,0.004175643662957861,331.0288935184479,41.91361949937049,0.9029999999999999,0.008342901174052132,339.32923636436465,26.181505552524413,0.92032,0.011988561214758001
5,0.5128000259399415,0.01062558585917464,0.77084,0.001290891165048415,107.6773648738861,7.026058081341827,0.88796,0.004270175640415719,317.6358603000641,43.65662110472832,0.9516,0.002468197723035979,348.9419331073761,36.49751226412366,0.95034,0.005823263689719006
7,0.5212044239044189,0.02351023804732075,0.8776800000000001,0.0004578209256903713,115.31513209342957,5.373111077265871,0.93048,0.002361694307060067,328.6955613136291,37.77081890221275,0.96182,0.0012122705968553318,439.2842116832733,70.43572916207619,0.95854,0.0009624967532412865
9,0.5351678848266601,0.014522294278958108,0.9155599999999999,0.0009221713506719073,103.87802577018738,6.464354697365799,0.9391200000000002,0.0010647065323364853,333.44331178665163,22.08216739447949,0.96756,0.0009478396488858253,386.5141114234924,82.69056992413847,0.96154,0.0016414627622946345
11,0.5717374324798584,0.025614413598051833,0.93544,0.0013032267646116086,135.60595607757568,6.29079526935854,0.9428000000000001,0.002545584412271576,297.20803718566896,24.183939872573244,0.9704600000000001,0.0011774548823628168,403.44920711517335,102.41688003815169,0.9652,0.002057182539299773
13,0.5806550979614258,0.02296511551326863,0.9513999999999999,0.00064807406984079,134.6245798110962,10.332825886785253,0.9448400000000001,0.0018693314312876633,323.0355488300323,26.941260781325006,0.9734999999999999,0.0007823042886243168,511.2589268684387,76.06240388339488,0.9681999999999998,0.0016186414056238922
15,0.5800416946411133,0.019623894061365717,0.9587,0.000616441400296909,134.69383873939515,8.610015669598939,0.9450799999999999,0.0024127992042438737,309.90376329421997,42.64659624774629,0.97462,0.0010665833300778577,487.6011760234833,90.97112474154385,0.9695199999999999,0.0018967340351245907
17,0.5925336837768554,0.01597137341053899,0.9643600000000001,0.0003826225293941853,136.9551697731018,3.841247826783905,0.94654,0.0017590906741836738,291.1277048587799,43.64677100897848,0.97362,0.0009453041838477251,479.27760167121886,88.86329888777202,0.97198,0.0015829087149927612
19,0.605834674835205,0.018007331014726544,0.9681000000000001,0.0002828427124746271,131.28667545318604,4.829009349159406,0.94666,0.001380724447527459,297.19246277809145,15.15562202466475,0.9746600000000001,0.00140939703419585,515.0485723495483,80.70992226586607,0.97288,0.0011232096865679208
21,0.6300117015838623,0.017510039379043205,0.9685599999999999,0.0017036431551237588,133.6921782016754,3.330296556137454,0.9461400000000001,0.0031891064579283313,296.51953277587893,36.44840995633826,0.97514,0.0007631513611335574,576.3853939533234,65.76018907249941,0.97288,0.000982649479723063
23,0.6346744537353516,0.035321817173772134,0.97136,0.00048414873747639245,129.980069065094,8.31413531903659,0.94626,0.0026687824939473706,271.98740553855896,29.25949796611976,0.97552,0.000966229786334496,572.123714351654,68.5720803814377,0.9738999999999999,0.0008831760866327854
25,0.7412250995635986,0.03458292773288379,0.9725800000000001,0.0013555810562264465,147.3058099746704,2.555845090096064,0.9479200000000001,0.0014905032707109194,286.95129799842834,39.85774280580859,0.9781599999999999,0.0008212186067059014,489.0951027870178,103.32454565453607,0.97492,0.00179376698598228
27,0.6714278221130371,0.02992430592803111,0.9737199999999999,0.0012936769303036643,138.92850584983825,8.99717149179584,0.9486800000000001,0.0016166632302369217,330.1764078617096,42.86141051729258,0.9773,0.0007848566748139672,587.6462299346924,104.18312057579547,0.97462,0.0027809350945320385
29,0.6846705913543701,0.03104178144311573,0.97474,0.0008499411744350367,139.4807821750641,9.72375660329435,0.94794,0.0018293168123646626,297.3164293766022,32.8721085051577,0.9775599999999999,0.0011359577456930353,530.8194165706634,92.48298036660205,0.97488,0.000601331855134913
31,0.7171578407287598,0.03525017072221205,0.9739000000000001,0.0010825894882179462,139.06341552734375,7.167658210478454,0.9478200000000001,0.0017440183485273161,323.4547456741333,35.83473376509195,0.97718,0.0008541662601625158,599.4049740791321,109.4230871405409,0.97608,0.0010495713410721445
33,0.7113339900970459,0.03579557586377195,0.9741799999999999,0.0003059411708155813,130.58532891273498,5.522816984835938,0.9474600000000001,0.0026627805016561203,291.01129360198973,19.18889624818383,0.9757,0.0015899685531481566,550.3921969890595,86.98521165079909,0.9763399999999999,0.0010650821564555392
35,0.7317164897918701,0.033129917495840454,0.9746,0.0002607680962081113,131.71253643035888,6.925275420021299,0.9479799999999999,0.002034109141614561,334.84097423553465,40.78351384091048,0.97786,0.00034409301068170976,562.3997337818146,90.26702630042011,0.97646,0.0011740528097151353
